char1_present,char2_present,text,speaker,choice1_text,choice1_split,c1_helga_effect,c1_rehan_effect,choice2_text,choice2_split,c1_helga_effect,c1_rehan_effect,choice3_text,choice3_split,c1_helga_effect,c1_rehan_effect,bg
0,0,Ever since your father was imprisoned for illegally using company money to fund his “Magical Girl Queendom” loot box addiction things have been tough.,3,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,class
0,0,You’ve had to move into your Japanese Aunts house and transfer schools. ,3,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,class
0,0,"Being a transfer student makes it really hard to make friends but your charming looks and personality will help you through your first day.
",3,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,class
0,0,"I just want to meet some people and make friends as soon as possible, loneliness is not my aesthetic
",0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,class
1,0,"The girl in front of you has who has been doodling all lesson in her black “Goth is Life, Death is acceptable” titled notebook drops her pen.",0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,class
1,0,"This is the perfect opportunity -  you pick up her pen and hand it to her, it has her name inscribed on its base “Hellga”
",3,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,class
1,0,"""Hi I’m-""",0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,class
1,0,"""Don’t even""",1,"""I haven't even said anything yet""",-1,-5,5,"""What's your deal?""",-1,5,-5,-1,-1,0,0,class
1,0,"""Listen here, Fresh Meat. Don’t even try to speak to me, being attractive doesn't give you authority to talk to me""",1,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,class
1,0,""" I was just trying to introduce myself""",0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,class
1,0,"""There you go running your mouth again, here’s some advice - you’re hotter when you keep quiet""",1,"""I'm honestly not sure if that was supposed compliment or a threat""",-1,5,-5,(Keep Quiet),-1,-5,5,-1,-1,0,0,class
1,0,"""Meet me at the bar after school - if you leave me waiting you’ll regret it""",1,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,class
0,0,"That was so damn weird, that was the first person I've spoken to in this school I hope that there are some less weird students around - yikes",0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,class
0,0,"You continue on with your day alone, thinking about the odd “friend” that you've made - at least someone has given you attention.",3,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,class
